                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3369,                 1.1456,                 1.2957,                0.47296,                  0.508,                0.46862,                0.25935,                 1.4904,                 1.2345,                 1.4541,               0.003763,               0.003763,               0.003763
                     65,                 1.3313,                 1.1142,                 1.2892,                0.46656,                0.54083,                0.48355,                0.27383,                 1.4848,                 1.2139,                 1.4489,               0.003664,               0.003664,               0.003664
                     66,                 1.3199,                 1.1071,                 1.2828,                0.44767,                 0.5083,                 0.4865,                0.27887,                 1.4751,                 1.2077,                 1.4361,               0.003565,               0.003565,               0.003565
                     67,                 1.3148,                 1.1071,                  1.272,                0.45817,                 0.5351,                0.48857,                0.28184,                 1.4921,                 1.2105,                 1.4477,               0.003466,               0.003466,               0.003466
                     68,                 1.3147,                 1.1088,                 1.2754,                0.46823,                0.46019,                0.47029,                0.27111,                 1.4833,                 1.2401,                 1.4329,               0.003367,               0.003367,               0.003367
                     69,                 1.2994,                 1.0902,                  1.272,                0.48358,                0.52537,                0.49281,                 0.2842,                 1.4883,                 1.2157,                 1.4488,               0.003268,               0.003268,               0.003268
                     70,                 1.2976,                 1.0781,                 1.2684,                0.48099,                0.48021,                0.49068,                0.28236,                 1.4902,                 1.2095,                 1.4495,               0.003169,               0.003169,               0.003169
                     71,                 1.2785,                 1.0695,                 1.2583,                 0.4825,                 0.4942,                0.49257,                0.28195,                 1.4901,                 1.2238,                 1.4524,                0.00307,                0.00307,                0.00307
                     72,                 1.2813,                 1.0568,                 1.2595,                 0.4685,                0.55104,                0.49606,                0.28381,                 1.4825,                 1.1982,                 1.4439,               0.002971,               0.002971,               0.002971
                     73,                 1.2683,                 1.0507,                 1.2523,                0.46362,                0.53726,                0.48948,                 0.2763,                 1.5004,                 1.2215,                  1.457,               0.002872,               0.002872,               0.002872
                     74,                 1.2655,                 1.0492,                  1.256,                0.47052,                0.52265,                0.48882,                 0.2835,                  1.492,                 1.2046,                   1.46,               0.002773,               0.002773,               0.002773
